"model","experiment","cor","p_value","significance_score_p"
"Gemini (1.6T)","Exp. 10: Short Game Pos. 3 Hard",-0.260068307363368,0.533913106974355,0
"Gemini (1.6T)","Exp. 1: Full Game",0.609073790848179,0.00564132387575192,2
"Gemini (1.6T)","Exp. 2: Full Game No Special Cards",0.727157314478419,0.00485620256716744,2
"Gemini (1.6T)","Exp. 3: Full Game Programmatic",0.855547971499358,3.01796936689804e-06,3
"Gemini (1.6T)","Exp. 4: Short Game No Reprompting",0.796182669350496,0.203817330649504,0
"Gemini (1.6T)","Exp. 5: Short Game Pos. 1 Easy",0.842017051472182,0.00872649446459135,2
"Gemini (1.6T)","Exp. 6: Short Game Pos. 1 Hard",0.279954381521251,0.591039063859014,0
"Gemini (1.6T)","Exp. 7: Short Game Pos. 2 Easy",0.879074669030403,0.00402947318491318,2
"Gemini (1.6T)","Exp. 8: Short Game Pos. 2 Hard",0.360439274397975,0.38042875908325,0
"Gemini (1.6T)","Exp. 9: Short Game Pos. 3 Easy",0.768276033675076,0.0259510558331596,1
"Gemma2 (27B)","Exp. 10: Short Game Pos. 3 Hard",0.283596371121159,0.586009832051436,0
"Gemma2 (27B)","Exp. 1: Full Game",0.845947060785436,5.03910952499204e-06,3
"Gemma2 (27B)","Exp. 2: Full Game No Special Cards",0.846487773552877,3.55403170744005e-05,3
"Gemma2 (27B)","Exp. 3: Full Game Programmatic",0.876924381480315,8.34622936287904e-07,3
"Gemma2 (27B)","Exp. 4: Short Game No Reprompting",NA,NA,0
"Gemma2 (27B)","Exp. 5: Short Game Pos. 1 Easy",0.851775640221947,0.0072631595981231,2
"Gemma2 (27B)","Exp. 6: Short Game Pos. 1 Hard",-0.13946853596071,0.792153630256467,0
"Gemma2 (27B)","Exp. 7: Short Game Pos. 2 Easy",0.843374042246212,0.00851271343350062,2
"Gemma2 (27B)","Exp. 8: Short Game Pos. 2 Hard",-0.431885489648465,0.333229571977356,0
"Gemma2 (27B)","Exp. 9: Short Game Pos. 3 Easy",0.668948936524148,0.0696741256973507,0
"Llama3 (70B)","Exp. 10: Short Game Pos. 3 Hard",0.509354536515629,0.197288443088223,0
"Llama3 (70B)","Exp. 1: Full Game",0.851816349326783,3.69896754029258e-06,3
"Llama3 (70B)","Exp. 2: Full Game No Special Cards",0.806539478011181,0.000160302656193825,3
"Llama3 (70B)","Exp. 3: Full Game Programmatic",0.838902788057633,7.18507992515869e-06,3
"Llama3 (70B)","Exp. 4: Short Game No Reprompting",0.916659694262245,0.0101289853535521,1
"Llama3 (70B)","Exp. 5: Short Game Pos. 1 Easy",0.85257353528871,0.00715100687662087,2
"Llama3 (70B)","Exp. 6: Short Game Pos. 1 Hard",0.318719100848645,0.485983353959267,0
"Llama3 (70B)","Exp. 7: Short Game Pos. 2 Easy",0.883998226855604,0.00357078019349474,2
"Llama3 (70B)","Exp. 8: Short Game Pos. 2 Hard",0.373363047659495,0.409398128706749,0
