"model","experiment","slope","p_value","r_squared","significance_score_p","significance_score_r2"
"Gemini (1.6T)","Exp. 1: Full Game",-0.759915862569902,0.177001397954316,0.110851093148492,0,2
"Gemini (1.6T)","Exp. 2: Full Game No Special Cards",-2.04028487306079,0.36134792655747,0.0761804216132886,0,1
"Gemini (1.6T)","Exp. 3: Full Game Programmatic",-31.9052899895266,0.25682677048465,0.0749201324687515,0,1
"Gemini (1.6T)","Exp. 4: Short Game No Reprompting",50.6428571428571,0.200550767769315,0.639119074914232,0,3
"Gemini (1.6T)","Exp. 5: Short Game Pos. 1 Easy",-7.68845456670168,0.0870856136365459,0.410245427378329,0,3
"Gemini (1.6T)","Exp. 6: Short Game Pos. 1 Hard",-2.77611518915867,0.0278543795447084,0.653048097795983,1,3
"Gemini (1.6T)","Exp. 7: Short Game Pos. 2 Easy",1.1651365283839,0.385245624396972,0.12748848158853,0,2
"Gemini (1.6T)","Exp. 8: Short Game Pos. 2 Hard",-5.02023822496199,0.215046793166636,0.242532059506709,0,2
"Gemini (1.6T)","Exp. 9: Short Game Pos. 3 Easy",8.94098387510958,0.100794176339163,0.384855671222633,0,3
"Gemini (1.6T)","Exp. 10: Short Game Pos. 3 Hard",-4.09506955935528,0.329280002716076,0.158123126986092,0,2
"Gemma2 (27B)","Exp. 1: Full Game",9093131866886346,0.285842171339494,0.0666666666666669,0,1
"Gemma2 (27B)","Exp. 2: Full Game No Special Cards",-2.50333342570599,0.138727439932397,0.149711782164631,0,2
"Gemma2 (27B)","Exp. 3: Full Game Programmatic",-4.21587128406488,0.125176465187066,0.132715576374289,0,2
"Gemma2 (27B)","Exp. 4: Short Game No Reprompting",-14.3428571428571,0.820638086470568,0.0321706960249396,0,1
"Gemma2 (27B)","Exp. 5: Short Game Pos. 1 Easy",-30.4833210311151,0.152874488013761,0.30857719846029,0,3
"Gemma2 (27B)","Exp. 6: Short Game Pos. 1 Hard",-9.76483516483517,0.513053383639219,0.0901043915241457,0,1
"Gemma2 (27B)","Exp. 7: Short Game Pos. 2 Easy",-9.49223415280108,0.0102411487062106,0.693821219651301,1,3
"Gemma2 (27B)","Exp. 8: Short Game Pos. 2 Hard",-9.31835342832785,0.0724539111535965,0.441092842971625,0,3
